Parcelle;2023-2024;2024-2025;2025-2026;Growth Rate 23-24 to 24-25;Growth Rate 24-25 to 25-26 (Projected)
A1;0.0;504.0;756.0;N/A;50.0
A2;26.0;3801.0;11403.0;14519.230769230768;200.0
B1;90.0;6693.0;20079.0;7336.666666666666;200.0
B2;364.0;3630.0;10890.0;897.2527472527472;200.0
C;0.0;1498.0;2247.0;N/A;50.0
D1;25.0;244.0;732.0;876.0;200.0
D2;32.0;456.0;1368.0;1325.0;200.0
E1;176.0;4348.0;13044.0;2370.4545454545455;200.0
E2;72.0;3031.0;9093.0;4109.722222222222;200.0
F;0.0;866.0;1299.0;N/A;50.0
G;30.0;2720.0;8160.0;8966.666666666668;200.0
H;158.0;613.0;1839.0;287.9746835443038;200.0
I;2867.0;13479.0;40437.0;370.1430066271364;200.0
J;6.0;1304.0;3912.0;21633.333333333336;200.0
K;38.0;803.0;2409.0;2013.157894736842;200.0
L;509.0;6637.0;19911.0;1203.9292730844795;200.0
LP;0.0;2914.0;4371.0;N/A;50.0
TOTAL;4393.0;53541.0;151950.0;1118.7798770771683;183.80119908107804
