Original_Parcelle;Plants;Predicted_Total_Production;Avg_per_Plant
I;3152;12256.343890229706;3.8884339753266834
B1;3398;7843.9223790304995;2.308393872581077
E1;5462;7330.854049322645;1.3421556296819195
L;3208;5367.44694576225;1.6731443097762624
B2;2326;4613.693123715936;1.9835310076164816
G;3506;2752.0330351720454;0.7849495251489006
E2;4494;2087.3912644333536;0.4644840374796069
A2;1854;2035.260693239619;1.0977673642069143
J;3256;875.9171837168396;0.26901633406536846
LP;1128;722.0392431243539;0.6401057119896755
K;4622;238.8771245003847;0.051682631869403875
H;4582;107.96817614758572;0.023563547827932282
D1;2954;65.42556836488748;0.02214812740856042
A1;1596;44.07212224600124;0.027614111682958173
D2;3974;39.48399895459333;0.009935581015247441
F;2834;11.465615377755253;0.004045735842538903
C;3950;0.0;0.0
